Product ID,Marketplace,Title,Recovery Reason,Final Status
bodmtnlcg,Mercado Livre,"Sony PlayStation Gift Card (Digital)",Slice Bottleneck Removed,APROVADO_IA
420pzh2ny,Mercado Livre,"Kit 2 Controles Compatível Ps4 Cabo Controle Tv Samsung Pc P4 Ps 4 Bluetooth Dual Shock 4 Bluetooth Manete Pc Gamer Tv Smart Controle Bluetooth Sem Fio Celular Headset P2 Cor Preto - Marca Redfin",Slice Bottleneck Removed,APROVADO_IA
ftb9twvkc,Mercado Livre,"Controle Dualsense Edição Limitada 30 Anos Aniversário Cor Cinza",Slice Bottleneck Removed,APROVADO_IA
juzpwf946,Mercado Livre,"Nintendo Gift Card eShop R$ 150 (Digital)",Slice Bottleneck Removed,APROVADO_IA
i81l97pcz,Mercado Livre,"Controle Xbox Wireless Series X|s Carbon black",Slice Bottleneck Removed,APROVADO_IA
vi7vi60jd,Mercado Livre,"Controlador Playstation 5 Dualsense Monster Hunter Wilds Red",Slice Bottleneck Removed,APROVADO_IA
43lgucruy,Mercado Livre,"Microfone Hollyland Lark M2 Duo Combo Duplo Para 2 Pessoas USB-C, Lightning e Camera preto",Slice Bottleneck Removed,APROVADO_IA
ybhccgaj5,Mercado Livre,"Controle Joystick DualShock 4 Ps4 Cor Vermelho Camuflagem",Slice Bottleneck Removed,APROVADO_IA
28l7kveqx,Mercado Livre,"Chaleira Elétrica 1,8L 1200W Atacama Nohara",Slice Bottleneck Removed,APROVADO_IA
xlf096zn8,Mercado Livre,"Liquidificador Turbo Power Mondial 550W L-99 FR",Slice Bottleneck Removed,APROVADO_IA
0lftn1luf,Amazon,"Óculos de Sol Ray-Ban Justin",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
4s899vmyo,Amazon,"Romantic Crown Mochila de Viagem Expansivel Masculina Feminina",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
1smadc4q8,Amazon,"Echo Dot (Geração mais recente)",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
d7c4wj7gu,Amazon,"Touca de Cetim para Cabelos Volumosos ou Grandes, Multicolorido",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
mdz7a52pd,Amazon,"Chamex - Papel Sulfite, A4, 75g, 500 folhas",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
upcmnkvbz,Amazon,"Amazon Fire TV Stick HD",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
8wspgaxkj,Amazon,"TCL QLED SMART TV 65"" 65P8K 4K UHD GOOGLE TV",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
mw9ux555j,Amazon,"Amazon Kindle Scribe Colorsoft 64GB",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
gxtwdwmxk,Amazon,"Hisense Smart TV 4K 50"" Polegadas 50Q6QVV",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
p6x4v8gpj,Amazon,"Amazon Kindle Scribe sem Luz Frontal 16GB",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
bxvgo4kah,Amazon,"Chaleira Elétrica 2 Litros Inox Desligamento Automatico Cor Aço 220V",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
obbut2hi7,Amazon,"Kit 6 Potes Herméticos de Vidro Transparente, 640ml",Slice Bottleneck Removed / Amazon URL Fix,APROVADO_IA
